TITRE;CATEGORIE;GENRE;REALISATEUR;ORIGINE;ACTEUR;CLASSEUR;NUMERO;TYPE;ZONE;ANNEE;LANGUE;COMMENTAIRES;VOIR;;;;;;;;;
1612;Action;Historique;Vladimir Khotinenko;Russie;Pyotr Kislov - Artur Smolyaninov - Mikhail Zhebroskiy;;;DVD;2;2010;Fr-Rus;;;;;;;;;;;
1984;Science Fiction;SF;;GB;Richard Burton - John Hurt;;;DVD;2;1984;Fr-Ang-All-Esp;;;;;;;;;;;
2012;Science Fiction;Catastrophe;Roland Emmerich;USA;Danny Glover - John Cusack - Amanda Peet - Thandie Newton;;;DVD;2;2009;Fr-Ang;;;;;;;;;;;
10000;Heroic Fantaisy;Fantastique;Roland Emmerich;USA;Steven Strait - Camilla Belle;;;DVD;;2008;Fr-Ang;;;;;;;;;;;
…Et pour Quelques Dollars de plus;Western;Aventures;Sergio Leone;Italie;Clint Eastwood - Lee Van CLEEF - Gian Maria Volonte;;;DVD;2;1965;Fr-Ang;;;;;;;;;;;
12 Years a Slave;Drame;Drame;Steve Mac Queen;USA;Chiwetel Ejiofor - Michael Fassbender - Benedict Cumberbatch - Paul Dano - Brad pitt;;;DVD;2;2013;Fr-Ang;;;;;;;;;;;
14-18 (01) Les Racines de la Guerre;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (02) L'europe Terrorisé;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (03) L'enfer de Verdun;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (04) La Somme et les Dardanelles;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (05) Les Etats-Unis Face à la Guerre;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (06) La Menace Révolutionnaire;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (07) L'aviation des As;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (08) La Guerre à l'Est;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (09) Victoires Décisives des Alliés;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (10) Vers l'Armistice;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (11) Une Paix Difficile;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (12) L'après-guerre;Documentaire;1er Guerre Mond.;;France;Pierre Miquel;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (13) Aux Armes;Documentaire;1er Guerre Mond.;;France;Hew Strachan;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (14) La Guerre Globale;Documentaire;1er Guerre Mond.;;France;Hew Strachan;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (15) Sur Tous les Fronts;Documentaire;1er Guerre Mond.;;France;Hew Strachan;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (16) Du Patriotisme à l'Epuisement;Documentaire;1er Guerre Mond.;;France;Hew Strachan;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (17) Une Guerre Sans Fin;Documentaire;1er Guerre Mond.;;France;Hew Strachan;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (18) Cambrai 1917: Les Chars en Guerre;Documentaire;1er Guerre Mond.;;France;;;;DVD;2;;Fr;;;;;;;;;;;
14-18 (19) Vols de Guerre: Les Débuts;Documentaire;1er Guerre Mond.;;France;;;;DVD;2;;Fr;;;;;;;;;;;
